tourney_name,tourney_date,surface,tourney_level,round,winner_name,loser_name,winner_rank,loser_rank,score,best_of,court,location
Dubai Tennis Championships,20250227,Hard,ATP500,Quarterfinals,Auger-Aliassime F.,Cilic M.,21,187.0,6-4 3-6 6-2,3,Outdoor,Dubai 
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Nakashima B.,Rune H.,42,13.0,3-0,3,Outdoor,Acapulco
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Tien L.,Zverev A.,83,2.0,6-3 6-4,3,Outdoor,Acapulco
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Pacheco Mendez R.,Ruud C.,356,5.0,,3,Outdoor,Acapulco
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Davidovich Fokina A.,Tiafoe F.,48,18.0,6-3 6-7 6-3,3,Outdoor,Acapulco
Chile Open,20250227,Clay,ATP250,2nd Round,Dzumhur D.,Navone M.,90,64.0,6-4 3-6 6-3,3,Indoor,Santiago
Chile Open,20250227,Clay,ATP250,2nd Round,Baez S.,Comesana F.,31,67.0,6-3 5-7 7-6,3,Indoor,Santiago
Chile Open,20250227,Clay,ATP250,2nd Round,Ugo Carabelli C.,Monteiro T.,69,108.0,4-6 7-6 6-3,3,Indoor,Santiago
Chile Open,20250227,Clay,ATP250,2nd Round,Coria F.,Tabilo A.,136,28.0,7-6 4-6 6-3,3,Indoor,Santiago
Dubai Tennis Championships,20250227,Hard,ATP500,Quarterfinals,Griekspoor T.,Medvedev D.,47,6.0,2-6 7-6 7-5,3,Outdoor,Dubai 
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Goffin D.,Shelton B.,63,14.0,7-6 6-3,3,Outdoor,Acapulco
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Shapovalov D.,Michelsen A.,32,34.0,6-4 6-3,3,Outdoor,Acapulco
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Giron M.,Paul T.,52,10.0,,3,Outdoor,Acapulco
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Giron M.,Paul T.,52,10.0,,3,Outdoor,Acapulco
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Machac T.,Altmaier D.,25,76.0,7-6 6-1,3,Outdoor,Acapulco
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Goffin D.,Shelton B.,63,14.0,7-6 6-3,3,Outdoor,Acapulco
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Shapovalov D.,Michelsen A.,32,34.0,6-4 6-3,3,Outdoor,Acapulco
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Nakashima B.,Rune H.,42,13.0,3-0,3,Outdoor,Acapulco
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Tien L.,Zverev A.,83,2.0,6-3 6-4,3,Outdoor,Acapulco
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Pacheco Mendez R.,Ruud C.,356,5.0,,3,Outdoor,Acapulco
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Davidovich Fokina A.,Tiafoe F.,48,18.0,6-3 6-7 6-3,3,Outdoor,Acapulco
Dubai Tennis Championships,20250227,Hard,ATP500,Quarterfinals,Auger-Aliassime F.,Cilic M.,21,187.0,6-4 3-6 6-2,3,Outdoor,Dubai 
Dubai Tennis Championships,20250227,Hard,ATP500,Quarterfinals,Halys Q.,Nardi L.,77,79.0,2-6 6-3 7-6,3,Outdoor,Dubai 
Dubai Tennis Championships,20250227,Hard,ATP500,Quarterfinals,Griekspoor T.,Medvedev D.,47,6.0,2-6 7-6 7-5,3,Outdoor,Dubai 
Dubai Tennis Championships,20250227,Hard,ATP500,Quarterfinals,Tsitsipas S.,Berrettini M.,11,30.0,7-6 1-6 6-4,3,Outdoor,Dubai 
Abierto Mexicano,20250227,Hard,ATP500,2nd Round,Machac T.,Altmaier D.,25,76.0,7-6 6-1,3,Outdoor,Acapulco
Chile Open,20250227,Clay,ATP250,2nd Round,Baez S.,Comesana F.,31,67.0,6-3 5-7 7-6,3,Indoor,Santiago
Chile Open,20250227,Clay,ATP250,2nd Round,Ugo Carabelli C.,Monteiro T.,69,108.0,4-6 7-6 6-3,3,Indoor,Santiago
Chile Open,20250227,Clay,ATP250,2nd Round,Dzumhur D.,Navone M.,90,64.0,6-4 3-6 6-3,3,Indoor,Santiago
Dubai Tennis Championships,20250227,Hard,ATP500,Quarterfinals,Halys Q.,Nardi L.,77,79.0,2-6 6-3 7-6,3,Outdoor,Dubai 
Chile Open,20250227,Clay,ATP250,2nd Round,Coria F.,Tabilo A.,136,28.0,7-6 4-6 6-3,3,Indoor,Santiago
Chile Open,20250228,Clay,ATP250,Quarterfinals,Ugo Carabelli C.,Coria F.,69,136.0,6-4 6-3,3,Indoor,Santiago
Dubai Tennis Championships,20250228,Hard,ATP500,Semifinals,Auger-Aliassime F.,Halys Q.,21,77.0,5-7 6-4 6-3,3,Outdoor,Dubai 
Dubai Tennis Championships,20250228,Hard,ATP500,Semifinals,Tsitsipas S.,Griekspoor T.,11,47.0,6-4 6-4,3,Outdoor,Dubai 
Chile Open,20250228,Clay,ATP250,Quarterfinals,Cerundolo F.,Etcheverry T.,26,43.0,4-6 6-3 7-5,3,Indoor,Santiago
Chile Open,20250228,Clay,ATP250,Quarterfinals,Djere L.,Faria J.,103,87.0,7-6 4-6 6-4,3,Indoor,Santiago
Dubai Tennis Championships,20250228,Hard,ATP500,Semifinals,Tsitsipas S.,Griekspoor T.,11,47.0,6-4 6-4,3,Outdoor,Dubai 
Dubai Tennis Championships,20250228,Hard,ATP500,Semifinals,Auger-Aliassime F.,Halys Q.,21,77.0,5-7 6-4 6-3,3,Outdoor,Dubai 
Abierto Mexicano,20250228,Hard,ATP500,Quarterfinals,Machac T.,Tien L.,25,83.0,6-3 7-5,3,Outdoor,Acapulco
Abierto Mexicano,20250228,Hard,ATP500,Quarterfinals,Nakashima B.,Goffin D.,42,63.0,7-6 6-2,3,Outdoor,Acapulco
Abierto Mexicano,20250228,Hard,ATP500,Quarterfinals,Machac T.,Tien L.,25,83.0,6-3 7-5,3,Outdoor,Acapulco
Chile Open,20250228,Clay,ATP250,Quarterfinals,Djere L.,Faria J.,103,87.0,7-6 4-6 6-4,3,Indoor,Santiago
Chile Open,20250228,Clay,ATP250,Quarterfinals,Cerundolo F.,Etcheverry T.,26,43.0,4-6 6-3 7-5,3,Indoor,Santiago
Chile Open,20250228,Clay,ATP250,Quarterfinals,Ugo Carabelli C.,Coria F.,69,136.0,6-4 6-3,3,Indoor,Santiago
Abierto Mexicano,20250228,Hard,ATP500,Quarterfinals,Davidovich Fokina A.,Pacheco Mendez R.,48,356.0,6-2 6-2,3,Outdoor,Acapulco
Abierto Mexicano,20250228,Hard,ATP500,Quarterfinals,Shapovalov D.,Giron M.,32,52.0,4-6 6-3 6-2,3,Outdoor,Acapulco
Abierto Mexicano,20250228,Hard,ATP500,Quarterfinals,Nakashima B.,Goffin D.,42,63.0,7-6 6-2,3,Outdoor,Acapulco
Abierto Mexicano,20250228,Hard,ATP500,Quarterfinals,Davidovich Fokina A.,Pacheco Mendez R.,48,356.0,6-2 6-2,3,Outdoor,Acapulco
Abierto Mexicano,20250228,Hard,ATP500,Quarterfinals,Shapovalov D.,Giron M.,32,52.0,4-6 6-3 6-2,3,Outdoor,Acapulco
Abierto Mexicano,20250301,Hard,ATP500,Semifinals,Machac T.,Nakashima B.,25,42.0,6-4 1-6 6-4,3,Outdoor,Acapulco
Abierto Mexicano,20250301,Hard,ATP500,Semifinals,Davidovich Fokina A.,Shapovalov D.,48,32.0,7-6 7-6,3,Outdoor,Acapulco
Chile Open,20250301,Clay,ATP250,Semifinals,Baez S.,Ugo Carabelli C.,31,69.0,6-1 3-6 6-2,3,Indoor,Santiago
Chile Open,20250301,Clay,ATP250,Quarterfinals,Baez S.,Dzumhur D.,31,90.0,6-4 6-4,3,Indoor,Santiago
Chile Open,20250301,Clay,ATP250,Semifinals,Djere L.,Cerundolo F.,103,26.0,6-1 4-6 6-3,3,Indoor,Santiago
Abierto Mexicano,20250301,Hard,ATP500,Semifinals,Machac T.,Nakashima B.,25,42.0,6-4 1-6 6-4,3,Outdoor,Acapulco
Abierto Mexicano,20250301,Hard,ATP500,Semifinals,Davidovich Fokina A.,Shapovalov D.,48,32.0,7-6 7-6,3,Outdoor,Acapulco
