tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
20241231-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20241231,38,,,,Pedro Martinez,,,,,,,,Francesco Passaro,,,,,6-4 6-4,3,R128,,,,,,,,,,,,,,,,,,,,43,,108.0,
20241231-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20241231,39,,,,Kei Nishikori,,,,,,,,Denis Shapovalov,,,,,6-2 6-3,3,R128,,,,,,,,,,,,,,,,,,,,106,,56.0,
20241231-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20241231,40,,,,Gabriel Diallo,,,,,,,,Roberto Carballes Baena,,,,,4-6 7-6 7-5,3,R128,,,,,,,,,,,,,,,,,,,,87,,57.0,
20241231-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20241231,41,,,,Juncheng Shang,,,,,,,,Coleman Wong,,,,,7-6 6-4,3,R128,,,,,,,,,,,,,,,,,,,,50,,170.0,
20250101-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250101,42,,,,Alexandre Muller,,,,,,,,Miomir Kecmanovic,,,,,5-7 7-6 7-6,3,R64,,,,,,,,,,,,,,,,,,,,67,,54.0,
20250101-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250101,43,,,,Cameron Norrie,,,,,,,,Lorenzo Sonego,,,,,6-2 4-6 6-1,3,R64,,,,,,,,,,,,,,,,,,,,49,,53.0,
20250101-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250101,44,,,,Arthur Fils,,,,,,,,Zizou Bergs,,,,,7-6 6-4,3,R64,,,,,,,,,,,,,,,,,,,,20,,71.0,
20250101-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250101,45,,,,Kei Nishikori,,,,,,,,Karen Khachanov,,,,,4-6 6-3 7-5,3,R64,,,,,,,,,,,,,,,,,,,,106,,19.0,
20250102-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250102,46,,,,Jaume Munar,,,,,,,,Nuno Borges,,,,,6-3 7-5,3,R64,,,,,,,,,,,,,,,,,,,,62,,36.0,
20250102-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250102,47,,,,Lorenzo Musetti,,,,,,,,Gabriel Diallo,,,,,6-4 6-3,3,R64,,,,,,,,,,,,,,,,,,,,17,,87.0,
